
(1)3D array has axis 3 with shape (121, 121, 121) and has 1771561 Voxcels

(2)Resolution -> 0.1
(3)step_distance -> 0.1
(4)fluid_diffusion_coefficient -> 2500.0 micro_meter^2/sec
(5)surface_relaxivity -> 20 micro_meter/sec
(6)radius -> 50 pixcels

===========
surface area is 470.7000000000001

=======
Volumen of sphere is --> 523.3050000000002


======
S/V = 0.8994754493077649
0|| T:6.666666666666668e-07 || F:1.0 || iteration time: 0.0005447864532470703 || diff : 0.0
612|| T:0.0004086666666666657 || F:0.995 || iteration time: 0.00024271011352539062 || diff : 0.00011596587173234862
616|| T:0.00041133333333333235 || F:0.995 || iteration time: 0.00024080276489257812 || diff : 8.412267031843168e-05
620|| T:0.000413999999999999 || F:0.995 || iteration time: 0.000240325927734375 || diff : 5.228048787064843e-05
624|| T:0.00041666666666666566 || F:0.995 || iteration time: 0.0002448558807373047 || diff : 2.0439324356358313e-05
628|| T:0.0004193333333333323 || F:0.995 || iteration time: 0.00023674964904785156 || diff : -1.1400820256968203e-05
632|| T:0.000421999999999999 || F:0.995 || iteration time: 0.0002415180206298828 || diff : -4.3239946001971674e-05
636|| T:0.00042466666666666564 || F:0.995 || iteration time: 0.0002396106719970703 || diff : -7.507805291129266e-05
640|| T:0.0004273333333333323 || F:0.995 || iteration time: 0.00023937225341796875 || diff : -0.00010691514101746069
644|| T:0.00042999999999999896 || F:0.995 || iteration time: 0.00024175643920898438 || diff : -0.00013875121035311633
648|| T:0.0004326666666666656 || F:0.995 || iteration time: 0.00024008750915527344 || diff : -0.00017058626095090013
652|| T:0.0004353333333333323 || F:0.995 || iteration time: 0.00024056434631347656 || diff : -0.00020242029284334162
656|| T:0.00043799999999999894 || F:0.995 || iteration time: 0.0002422332763671875 || diff : -0.00023425330606297035
660|| T:0.0004406666666666656 || F:0.995 || iteration time: 0.00024271011352539062 || diff : -0.0002660853006426489
664|| T:0.00044333333333333226 || F:0.995 || iteration time: 0.00024056434631347656 || diff : -0.0002979162766146848
668|| T:0.0004459999999999989 || F:0.995 || iteration time: 0.0002410411834716797 || diff : -0.00032974623401171854
672|| T:0.0004486666666666656 || F:0.995 || iteration time: 0.00024199485778808594 || diff : -0.00036157517286650176
676|| T:0.00045133333333333223 || F:0.995 || iteration time: 0.00024080276489257812 || diff : -0.00039340309321156397
680|| T:0.0004539999999999989 || F:0.995 || iteration time: 0.0002961158752441406 || diff : -0.0004252299950794347
684|| T:0.00045666666666666555 || F:0.995 || iteration time: 0.00026988983154296875 || diff : -0.00045705587850275453
688|| T:0.0004593333333333322 || F:0.995 || iteration time: 0.0002529621124267578 || diff : -0.000488880743514053
692|| T:0.00046199999999999887 || F:0.995 || iteration time: 0.0002639293670654297 || diff : -0.0005207045901459706
696|| T:0.00046466666666666553 || F:0.995 || iteration time: 0.00026416778564453125 || diff : -0.0005525274184311479
700|| T:0.0004673333333333322 || F:0.995 || iteration time: 0.0002608299255371094 || diff : -0.0005843492284021146
704|| T:0.00046999999999999885 || F:0.995 || iteration time: 0.0002505779266357422 || diff : -0.0006161700200914
708|| T:0.0004726666666666655 || F:0.994 || iteration time: 0.00032448768615722656 || diff : 0.0003520102064683561
712|| T:0.00047533333333333217 || F:0.994 || iteration time: 0.00027441978454589844 || diff : 0.0003201914512445114
716|| T:0.0004779999999999988 || F:0.994 || iteration time: 0.0002510547637939453 || diff : 0.0002883737142045373
720|| T:0.0004806666666666655 || F:0.994 || iteration time: 0.0002598762512207031 || diff : 0.00025655699531590415
724|| T:0.00048333333333333214 || F:0.994 || iteration time: 0.0002560615539550781 || diff : 0.00022474129454597147
728|| T:0.0004859999999999988 || F:0.994 || iteration time: 0.0003094673156738281 || diff : 0.00019292661186220972
732|| T:0.0004886666666666655 || F:0.994 || iteration time: 0.0002484321594238281 || diff : 0.00016111294723197833
736|| T:0.0004913333333333323 || F:0.994 || iteration time: 0.000244140625 || diff : 0.00012930030062274778
740|| T:0.0004939999999999992 || F:0.994 || iteration time: 0.00025010108947753906 || diff : 9.74886720018775e-05
744|| T:0.0004966666666666661 || F:0.994 || iteration time: 0.00023794174194335938 || diff : 6.567806133683796e-05
748|| T:0.000499333333333333 || F:0.994 || iteration time: 0.00024175643920898438 || diff : 3.386846859509962e-05
752|| T:0.0005019999999999998 || F:0.994 || iteration time: 0.00026869773864746094 || diff : 2.0598937440219345e-06
756|| T:0.0005046666666666667 || F:0.994 || iteration time: 0.0002415180206298828 || diff : -2.974766324892464e-05
760|| T:0.0005073333333333336 || F:0.994 || iteration time: 0.00023317337036132812 || diff : -6.155420241638065e-05
764|| T:0.0005100000000000005 || F:0.994 || iteration time: 0.00023317337036132812 || diff : -9.335972379087565e-05
768|| T:0.0005126666666666673 || F:0.994 || iteration time: 0.00026679039001464844 || diff : -0.00012516422740493915
772|| T:0.0005153333333333342 || F:0.994 || iteration time: 0.0002677440643310547 || diff : -0.00015696771329121173
776|| T:0.0005180000000000011 || F:0.994 || iteration time: 0.00024437904357910156 || diff : -0.0001887701814821119
780|| T:0.000520666666666668 || F:0.994 || iteration time: 0.00024509429931640625 || diff : -0.0002205716320103912
784|| T:0.0005233333333333349 || F:0.994 || iteration time: 0.00023698806762695312 || diff : -0.0002523720649085792
788|| T:0.0005260000000000017 || F:0.994 || iteration time: 0.0002315044403076172 || diff : -0.00028417148020909444
792|| T:0.0005286666666666686 || F:0.994 || iteration time: 0.0002663135528564453 || diff : -0.00031596987794468845
796|| T:0.0005313333333333355 || F:0.994 || iteration time: 0.0002551078796386719 || diff : -0.00034776725814777976
800|| T:0.0005340000000000024 || F:0.994 || iteration time: 0.00023245811462402344 || diff : -0.0003795636208510089
804|| T:0.0005366666666666692 || F:0.994 || iteration time: 0.00023555755615234375 || diff : -0.0004113589660869055
